epoch,split,loss,mae
29,train,0.5002030204,0.0159222592
29,val,0.4813624192,0.0155412230
30,train,0.4993480171,0.0159002534
30,val,0.4802267615,0.0155162388
31,train,0.4983176521,0.0158899667
31,val,0.4798757538,0.0155889189
32,train,0.4976815678,0.0158769953
32,val,0.4784006726,0.0155375259
33,train,0.4969274650,0.0158675734
33,val,0.4799866021,0.0155440127
34,train,0.4961868629,0.0158590922
34,val,0.4771028552,0.0155044801
35,train,0.4958361715,0.0158514582
35,val,0.4775393043,0.0155623644
36,train,0.4946580136,0.0158288999
36,val,0.4784980044,0.0155470074
37,train,0.4941505858,0.0158335092
37,val,0.4757676780,0.0154602833
38,train,0.4939234075,0.0158249069
38,val,0.4758206684,0.0154655674
39,train,0.4932945514,0.0158143404
39,val,0.4761101555,0.0155053669
40,train,0.4925221630,0.0158110493
40,val,0.4764027100,0.0155146751
41,train,0.4920343337,0.0158011695
41,val,0.4762866408,0.0155025380
42,train,0.4915300211,0.0157929220
42,val,0.4729989383,0.0154156001
43,train,0.4907489124,0.0157727546
43,val,0.4731599838,0.0155435165
44,train,0.4908110449,0.0157806431
44,val,0.4723004412,0.0154145818
45,train,0.4904976453,0.0157752610
45,val,0.4747421183,0.0154769573
46,train,0.4903753207,0.0157833310
46,val,0.4704462621,0.0153886013
47,train,0.4892502160,0.0157558472
47,val,0.4737500317,0.0154632812
48,train,0.4891554307,0.0157618582
48,val,0.4713717524,0.0154165859
49,train,0.4889415770,0.0157561147
49,val,0.4740948353,0.0154626369
50,train,0.4890011271,0.0157519277
50,val,0.4696229000,0.0153915405
51,train,0.4884864889,0.0157480121
51,val,0.4741608605,0.0155605429
52,train,0.4882902620,0.0157426272
52,val,0.4699820157,0.0153979580
53,train,0.4875593855,0.0157351513
53,val,0.4711968251,0.0155387890
54,train,0.4874922819,0.0157334232
54,val,0.4707398009,0.0154730891
55,train,0.4871647950,0.0157294160
55,val,0.4716554414,0.0154500184
56,train,0.4867608327,0.0157332367
56,val,0.4696465679,0.0154214085
57,train,0.4866549134,0.0157207449
57,val,0.4753044192,0.0155062826
58,train,0.4864356151,0.0157193283
58,val,0.4697828118,0.0153794687
59,train,0.4863790837,0.0157169457
59,val,0.4684512280,0.0153911687
60,train,0.4858714269,0.0157121343
60,val,0.4677988961,0.0153671207
61,train,0.4863771574,0.0157207356
61,val,0.4689266037,0.0154060787
62,train,0.4856040752,0.0157052982
62,val,0.4672986805,0.0153441480
63,train,0.4851423330,0.0156975364
63,val,0.4679798532,0.0154092546
64,train,0.4849877987,0.0156970705
64,val,0.4665337462,0.0153736388
65,train,0.4848651822,0.0156980584
65,val,0.4687330388,0.0154667634
66,train,0.4849323425,0.0157025133
66,val,0.4674988884,0.0153365564
67,train,0.4850588396,0.0157070645
67,val,0.4686655521,0.0154249397
68,train,0.4845941049,0.0156924990
68,val,0.4666500989,0.0153712322
69,train,0.4844298349,0.0156994092
69,val,0.4675364919,0.0153478551
70,train,0.4843086672,0.0156817228
70,val,0.4675874092,0.0153848644
71,train,0.4841739971,0.0156909230
71,val,0.4673476085,0.0153951511
72,train,0.4841262668,0.0156869171
72,val,0.4658130083,0.0153405505
73,train,0.4835283054,0.0156828916
73,val,0.4645261962,0.0153227632
74,train,0.4834777117,0.0156826504
74,val,0.4665289100,0.0154004258
75,train,0.4831610124,0.0156749258
75,val,0.4665316693,0.0153628368
76,train,0.4826271757,0.0156782610
76,val,0.4679778345,0.0153618297
77,train,0.4832864692,0.0156852185
77,val,0.4657810263,0.0153277229
78,train,0.4828153906,0.0156734770
78,val,0.4645861015,0.0153255656
79,train,0.4826348431,0.0156716029
79,val,0.4672387335,0.0153441217
80,train,0.4826199364,0.0156733729
80,val,0.4657380681,0.0153795558
81,train,0.4825524391,0.0156774689
81,val,0.4666087087,0.0153676282
82,train,0.4822515702,0.0156688615
82,val,0.4654572416,0.0153308291
83,train,0.4826581693,0.0156735194
83,val,0.4674288638,0.0153805298
84,train,0.4821624649,0.0156676717
84,val,0.4644117571,0.0153147150
85,train,0.4817425516,0.0156549677
85,val,0.4677268438,0.0153630541
86,train,0.4819963778,0.0156675525
86,val,0.4641503163,0.0153150286
87,train,0.4818063028,0.0156617848
87,val,0.4639648929,0.0152906261
88,train,0.4815993363,0.0156592902
88,val,0.4673263613,0.0153854609
89,train,0.4819311881,0.0156679136
89,val,0.4626973715,0.0152840218
90,train,0.4812591685,0.0156498682
90,val,0.4646289419,0.0153541213
91,train,0.4813652248,0.0156633326
91,val,0.4647604253,0.0153617949
92,train,0.4809301835,0.0156486535
92,val,0.4653358351,0.0153326793
93,train,0.4810526233,0.0156542532
93,val,0.4638513722,0.0153252681
94,train,0.4807496317,0.0156474272
94,val,0.4644473325,0.0152969772
95,train,0.4807512032,0.0156503038
95,val,0.4643554330,0.0153439426
96,train,0.4807180762,0.0156507886
96,val,0.4659191404,0.0153421308
97,train,0.4803488002,0.0156460655
97,val,0.4655542418,0.0153498047
98,train,0.4807151345,0.0156510771
98,val,0.4653994683,0.0153525093
99,train,0.4807411030,0.0156566725
99,val,0.4627165768,0.0153050854
100,train,0.4805572751,0.0156473309
100,val,0.4628913142,0.0152573417
